inchikey,n1_frag,n3_frag,c4_frag,c5_frag,smiles_cation,smiles_neutral
QJSQIGPHBRLJSV-UHFFFAOYSA-N,Et,Vinyl,NH2,OMe,C=Cn1c[n+](CC)c(OC)c1N,C=CN1[C]N(CC)C(OC)=C1N
QJVSNUHRMUYZJY-UHFFFAOYSA-N,tBu,Allyl,NO2,NH2,C=CCn1c[n+](C(C)(C)C)c(N)c1[N+](=O)[O-],C=CCN1[C]N(C(C)(C)C)C(N)=C1[N+](=O)[O-]
QKAXJYBZQFODEO-UHFFFAOYSA-N,Vinyl,Ethynyl,F,Me,C#Cn1c[n+](C=C)c(C)c1F,C#CN1[C]N(C=C)C(C)=C1F
QKJRGYNDXMJJHB-UHFFFAOYSA-N,Ethynyl,Propargyl,CF3,F,C#CCn1c[n+](C#C)c(F)c1C(F)(F)F,C#CCN1[C]N(C#C)C(F)=C1C(F)(F)F
QKLMWQXSHXJKCS-UHFFFAOYSA-N,tBu,Ph,F,NH2,CC(C)(C)[n+]1cn(-c2ccccc2)c(F)c1N,CC(C)(C)N1[C]N(c2ccccc2)C(F)=C1N
QKLQWAXQEDHRKN-UHFFFAOYSA-N,nBu,Allyl,CN,F,C=CCn1c[n+](CCCC)c(F)c1C#N,C=CCN1[C]N(CCCC)C(F)=C1C#N
QLCREYIUHVGPBH-UHFFFAOYSA-N,Vinyl,Allyl,F,CF3,C=CCn1c[n+](C=C)c(C(F)(F)F)c1F,C=CCN1[C]N(C=C)C(C(F)(F)F)=C1F
QLHGKESMQFCUOB-UHFFFAOYSA-N,tBu,Vinyl,F,H,C=Cn1c[n+](C(C)(C)C)cc1F,C=CN1[C]N(C(C)(C)C)C=C1F
QLZNQXZLIZFJTD-UHFFFAOYSA-N,nBu,tBu,F,NO2,CCCC[n+]1cn(C(C)(C)C)c(F)c1[N+](=O)[O-],CCCCN1[C]N(C(C)(C)C)C(F)=C1[N+](=O)[O-]
QMAMCXPGWBWZKU-UHFFFAOYSA-N,Me,iPr,CN,H,CC(C)n1c[n+](C)cc1C#N,CC(C)N1[C]N(C)C=C1C#N
QMMYBRKOXFKYKC-UHFFFAOYSA-N,Ethynyl,Ethynyl,H,NH2,C#Cn1cc(N)[n+](C#C)c1,C#CN1[C]N(C#C)C(N)=C1
QMWDLZOGPXYELA-UHFFFAOYSA-N,Et,iPr,OMe,Me,CC[n+]1cn(C(C)C)c(OC)c1C,CCN1[C]N(C(C)C)C(OC)=C1C
QNBSMZJSXHHOAQ-UHFFFAOYSA-N,Ethynyl,Ph,CF3,Me,C#C[n+]1cn(-c2ccccc2)c(C(F)(F)F)c1C,C#CN1[C]N(c2ccccc2)C(C(F)(F)F)=C1C
QNLUFCACRSSQKP-UHFFFAOYSA-N,Ethynyl,Ethynyl,NO2,OMe,C#Cn1c[n+](C#C)c(OC)c1[N+](=O)[O-],C#CN1[C]N(C#C)C([N+](=O)[O-])=C1OC
QNVHBCWJOLFGQO-UHFFFAOYSA-N,Et,Allyl,NO2,CN,C=CCn1c[n+](CC)c(C#N)c1[N+](=O)[O-],C=CCN1[C]N(CC)C(C#N)=C1[N+](=O)[O-]
QNVXLYQIKJAQLA-UHFFFAOYSA-N,Et,Propargyl,NO2,CF3,C#CCn1c[n+](CC)c(C(F)(F)F)c1[N+](=O)[O-],C#CCN1[C]N(CC)C(C(F)(F)F)=C1[N+](=O)[O-]
QNXZZRXACXARCU-UHFFFAOYSA-N,tBu,Ph,NO2,NH2,CC(C)(C)[n+]1cn(-c2ccccc2)c([N+](=O)[O-])c1N,CC(C)(C)N1[C]N(c2ccccc2)C([N+](=O)[O-])=C1N
QOIAOKPHKAYZNC-UHFFFAOYSA-N,tBu,Allyl,OMe,NO2,C=CCn1c[n+](C(C)(C)C)c([N+](=O)[O-])c1OC,C=CCN1[C]N(C(C)(C)C)C([N+](=O)[O-])=C1OC
QORKQPIOCCHUDM-UHFFFAOYSA-N,Et,Propargyl,CN,Me,C#CCn1c[n+](CC)c(C)c1C#N,C#CCN1[C]N(CC)C(C)=C1C#N
QOSPVYIWIHWYJK-UHFFFAOYSA-N,Et,Vinyl,NO2,H,C=Cn1c[n+](CC)cc1[N+](=O)[O-],C=CN1[C]N(CC)C=C1[N+](=O)[O-]
QOVYNXJWDJSXQK-UHFFFAOYSA-N,Et,tBu,H,CN,CC[n+]1cn(C(C)(C)C)cc1C#N,CCN1[C]N(C(C)(C)C)C=C1C#N
QOYXFTYFYQWJJA-UHFFFAOYSA-N,nBu,Allyl,F,CF3,C=CCn1c[n+](CCCC)c(C(F)(F)F)c1F,C=CCN1[C]N(CCCC)C(C(F)(F)F)=C1F
QPHMBCQITQJGBG-UHFFFAOYSA-N,Vinyl,Vinyl,NH2,NH2,C=Cn1c[n+](C=C)c(N)c1N,C=CN1[C]N(C=C)C(N)=C1N
QQCVETFXEWQESN-UHFFFAOYSA-N,Vinyl,Ph,CF3,H,C=C[n+]1cc(C(F)(F)F)n(-c2ccccc2)c1,C=CN1[C]N(c2ccccc2)C(C(F)(F)F)=C1
QQRYVRIOFKDSRL-UHFFFAOYSA-N,Vinyl,Ethynyl,CN,Me,C#Cn1c[n+](C=C)c(C)c1C#N,C#CN1[C]N(C=C)C(C)=C1C#N
QQSPKEHHQIGGOD-UHFFFAOYSA-N,Me,Ethynyl,F,CF3,C#Cn1c[n+](C)c(C(F)(F)F)c1F,C#CN1[C]N(C)C(C(F)(F)F)=C1F
QQTGDIYTVVWJAN-UHFFFAOYSA-N,Vinyl,Ph,F,CF3,C=C[n+]1cn(-c2ccccc2)c(F)c1C(F)(F)F,C=CN1[C]N(c2ccccc2)C(F)=C1C(F)(F)F
QRGIFWUPIRGVQN-UHFFFAOYSA-N,Ethynyl,Ph,H,CN,C#C[n+]1cn(-c2ccccc2)cc1C#N,C#CN1[C]N(c2ccccc2)C=C1C#N
