inchikey,n1_frag,n3_frag,c4_frag,c5_frag,smiles_cation,smiles_neutral
AAMFEMJKIQOSEU-UHFFFAOYSA-N,Et,Ethynyl,CF3,Me,C#Cn1c[n+](CC)c(C)c1C(F)(F)F,C#CN1[C]N(CC)C(C)=C1C(F)(F)F
AAQNHKTVTZOBKJ-UHFFFAOYSA-N,Et,Et,F,CN,CCn1c[n+](CC)c(C#N)c1F,CCN1[C]N(CC)C(C#N)=C1F
AARYEDQIJTWXGH-UHFFFAOYSA-N,Me,Vinyl,F,NH2,C=Cn1c[n+](C)c(N)c1F,C=CN1[C]N(C)C(N)=C1F
AAULNFIWRPQCRP-UHFFFAOYSA-N,Et,Ethynyl,OMe,OMe,C#Cn1c[n+](CC)c(OC)c1OC,C#CN1[C]N(CC)C(OC)=C1OC
ABDQQZDJEAXYIP-UHFFFAOYSA-N,nBu,iPr,CF3,NH2,CCCC[n+]1cn(C(C)C)c(C(F)(F)F)c1N,CCCCN1[C]N(C(C)C)C(C(F)(F)F)=C1N
ABJGAQHFXIQLFD-UHFFFAOYSA-N,nBu,tBu,CN,CF3,CCCC[n+]1cn(C(C)(C)C)c(C#N)c1C(F)(F)F,CCCCN1[C]N(C(C)(C)C)C(C#N)=C1C(F)(F)F
ACBHXPFCLFIGDJ-UHFFFAOYSA-N,Me,Ph,NO2,NO2,C[n+]1cn(-c2ccccc2)c([N+](=O)[O-])c1[N+](=O)[O-],CN1[C]N(c2ccccc2)C([N+](=O)[O-])=C1[N+](=O)[O-]
ACGCNTKELWXJPN-UHFFFAOYSA-N,Me,Ethynyl,OMe,H,C#Cn1c[n+](C)cc1OC,C#CN1[C]N(C)C=C1OC
ADHDUMPOTFLJJZ-UHFFFAOYSA-N,Et,tBu,CN,F,CC[n+]1cn(C(C)(C)C)c(C#N)c1F,CCN1[C]N(C(C)(C)C)C(C#N)=C1F
ADPCUISWEIYRPX-UHFFFAOYSA-N,Et,Propargyl,F,OMe,C#CCn1c[n+](CC)c(OC)c1F,C#CCN1[C]N(CC)C(OC)=C1F
AETSDHHLGCWPKI-UHFFFAOYSA-N,Ethynyl,Propargyl,OMe,OMe,C#CCn1c[n+](C#C)c(OC)c1OC,C#CCN1[C]N(C#C)C(OC)=C1OC
AETUXZLPTDVTDL-UHFFFAOYSA-N,Ethynyl,Ph,F,H,C#C[n+]1cc(F)n(-c2ccccc2)c1,C#CN1[C]N(c2ccccc2)C(F)=C1
AFGBQXBRIZSINR-UHFFFAOYSA-N,Et,Ethynyl,OMe,NH2,C#Cn1c[n+](CC)c(N)c1OC,C#CN1[C]N(CC)C(N)=C1OC
AGBSGFUNFYHKNF-UHFFFAOYSA-N,Vinyl,Allyl,OMe,NH2,C=CCn1c[n+](C=C)c(N)c1OC,C=CCN1[C]N(C=C)C(N)=C1OC
AGKHENBYDQNGMT-UHFFFAOYSA-N,Me,Et,F,H,CCn1c[n+](C)cc1F,CCN1[C]N(C)C=C1F
AHIAZDXTALOGKP-UHFFFAOYSA-N,Me,Ethynyl,NO2,CN,C#Cn1c[n+](C)c(C#N)c1[N+](=O)[O-],C#CN1[C]N(C)C(C#N)=C1[N+](=O)[O-]
AHMKCSZRXAAEPJ-UHFFFAOYSA-N,tBu,Vinyl,CN,F,C=Cn1c[n+](C(C)(C)C)c(F)c1C#N,C=CN1[C]N(C(C)(C)C)C(F)=C1C#N
AHVKDBNGFWJDRG-UHFFFAOYSA-N,Vinyl,Ph,F,CN,C=C[n+]1cn(-c2ccccc2)c(F)c1C#N,C=CN1[C]N(c2ccccc2)C(F)=C1C#N
AHYJHYMIQPSWQH-UHFFFAOYSA-N,nBu,Allyl,CF3,Me,C=CCn1c[n+](CCCC)c(C)c1C(F)(F)F,C=CCN1[C]N(CCCC)C(C)=C1C(F)(F)F
AHZYMXCKDSOVLL-UHFFFAOYSA-N,tBu,Ph,CF3,CN,CC(C)(C)[n+]1cn(-c2ccccc2)c(C(F)(F)F)c1C#N,CC(C)(C)N1[C]N(c2ccccc2)C(C(F)(F)F)=C1C#N
AJEXNHPRTARHTN-UHFFFAOYSA-N,Me,tBu,CF3,NO2,C[n+]1cn(C(C)(C)C)c(C(F)(F)F)c1[N+](=O)[O-],CN1[C]N(C(C)(C)C)C(C(F)(F)F)=C1[N+](=O)[O-]
AJMHFTZMWZFKGC-UHFFFAOYSA-N,nBu,tBu,NO2,Me,CCCC[n+]1cn(C(C)(C)C)c([N+](=O)[O-])c1C,CCCCN1[C]N(C(C)(C)C)C([N+](=O)[O-])=C1C
AJNMVVMRULOJFJ-UHFFFAOYSA-N,Me,tBu,H,NO2,C[n+]1cn(C(C)(C)C)cc1[N+](=O)[O-],CN1[C]N(C(C)(C)C)C=C1[N+](=O)[O-]
AJPVXNVXIOUWLJ-UHFFFAOYSA-N,Et,Vinyl,F,CF3,C=Cn1c[n+](CC)c(C(F)(F)F)c1F,C=CN1[C]N(CC)C(C(F)(F)F)=C1F
AJSKKTXZGAKOJK-UHFFFAOYSA-N,tBu,Ethynyl,F,F,C#Cn1c[n+](C(C)(C)C)c(F)c1F,C#CN1[C]N(C(C)(C)C)C(F)=C1F
AJWACROYKVVCIC-UHFFFAOYSA-N,Vinyl,Ethynyl,OMe,CF3,C#Cn1c[n+](C=C)c(C(F)(F)F)c1OC,C#CN1[C]N(C=C)C(C(F)(F)F)=C1OC
AJXWZDPSCGKSSB-UHFFFAOYSA-N,Me,Propargyl,OMe,NH2,C#CCn1c[n+](C)c(N)c1OC,C#CCN1[C]N(C)C(N)=C1OC
AKCVHAOYAYBNIW-UHFFFAOYSA-N,Vinyl,Ph,H,CF3,C=C[n+]1cn(-c2ccccc2)cc1C(F)(F)F,C=CN1[C]N(c2ccccc2)C=C1C(F)(F)F
AKFDTSQAHSUNHF-UHFFFAOYSA-N,nBu,Ph,OMe,CN,CCCC[n+]1cn(-c2ccccc2)c(OC)c1C#N,CCCCN1[C]N(c2ccccc2)C(OC)=C1C#N
AKNIGSWZPYMGJE-UHFFFAOYSA-N,tBu,Vinyl,NO2,H,C=Cn1c[n+](C(C)(C)C)cc1[N+](=O)[O-],C=CN1[C]N(C(C)(C)C)C=C1[N+](=O)[O-]
AKPFRWMCZJKGMD-UHFFFAOYSA-N,Et,Vinyl,OMe,F,C=Cn1c[n+](CC)c(F)c1OC,C=CN1[C]N(CC)C(F)=C1OC
AKUYERLQUNIDFZ-UHFFFAOYSA-N,tBu,Ethynyl,F,NO2,C#Cn1c[n+](C(C)(C)C)c([N+](=O)[O-])c1F,C#CN1[C]N(C(C)(C)C)C([N+](=O)[O-])=C1F
ALDDEXDUDSDIID-UHFFFAOYSA-N,tBu,Ethynyl,H,CN,C#Cn1cc(C#N)[n+](C(C)(C)C)c1,C#CN1[C]N(C(C)(C)C)C(C#N)=C1
ALRXQXGZTPCUAL-UHFFFAOYSA-N,Et,Propargyl,CN,NO2,C#CCn1c[n+](CC)c([N+](=O)[O-])c1C#N,C#CCN1[C]N(CC)C([N+](=O)[O-])=C1C#N
ALXQAADFININHR-UHFFFAOYSA-N,Me,Propargyl,CN,CF3,C#CCn1c[n+](C)c(C(F)(F)F)c1C#N,C#CCN1[C]N(C)C(C(F)(F)F)=C1C#N
ALZABJUGMRYLEG-UHFFFAOYSA-N,tBu,Ph,CN,NO2,CC(C)(C)[n+]1cn(-c2ccccc2)c(C#N)c1[N+](=O)[O-],CC(C)(C)N1[C]N(c2ccccc2)C(C#N)=C1[N+](=O)[O-]
AMUBDBUFMDUQGZ-UHFFFAOYSA-N,Et,Ethynyl,CN,H,C#Cn1c[n+](CC)cc1C#N,C#CN1[C]N(CC)C=C1C#N
AMUYLDYINWNHHU-UHFFFAOYSA-N,nBu,iPr,F,NO2,CCCC[n+]1cn(C(C)C)c(F)c1[N+](=O)[O-],CCCCN1[C]N(C(C)C)C(F)=C1[N+](=O)[O-]
AMYALMRHPODXKI-UHFFFAOYSA-N,tBu,Ph,OMe,CN,COc1c(C#N)[n+](C(C)(C)C)cn1-c1ccccc1,COC1=C(C#N)N(C(C)(C)C)[C]N1c1ccccc1
ANGBFHFIYMRUCX-UHFFFAOYSA-N,Vinyl,Propargyl,CN,NO2,C#CCn1c[n+](C=C)c([N+](=O)[O-])c1C#N,C#CCN1[C]N(C=C)C([N+](=O)[O-])=C1C#N
ANHARAMRAZIRHA-UHFFFAOYSA-N,Et,Ethynyl,NH2,H,C#Cn1c[n+](CC)cc1N,C#CN1[C]N(CC)C=C1N
ANJYXHIBHZXLJC-UHFFFAOYSA-N,nBu,Vinyl,NO2,NO2,C=Cn1c[n+](CCCC)c([N+](=O)[O-])c1[N+](=O)[O-],C=CN1[C]N(CCCC)C([N+](=O)[O-])=C1[N+](=O)[O-]
AOCDNEAENDSDNX-UHFFFAOYSA-N,Vinyl,Ethynyl,H,NO2,C#Cn1cc([N+](=O)[O-])[n+](C=C)c1,C#CN1[C]N(C=C)C([N+](=O)[O-])=C1
AORCRLWAMCJHJO-UHFFFAOYSA-N,Et,Vinyl,OMe,Me,C=Cn1c[n+](CC)c(C)c1OC,C=CN1[C]N(CC)C(C)=C1OC
AOSUOWKZROQBMB-UHFFFAOYSA-N,Me,Allyl,OMe,CN,C=CCn1c[n+](C)c(C#N)c1OC,C=CCN1[C]N(C)C(C#N)=C1OC
APLFUKUEWUTQCZ-UHFFFAOYSA-N,Me,Et,OMe,F,CCn1c[n+](C)c(F)c1OC,CCN1[C]N(C)C(F)=C1OC
APTVXZBCRXMJLF-UHFFFAOYSA-N,nBu,iPr,F,NH2,CCCC[n+]1cn(C(C)C)c(F)c1N,CCCCN1[C]N(C(C)C)C(F)=C1N
APVJBGYCRUVSDQ-UHFFFAOYSA-N,Me,Vinyl,NO2,F,C=Cn1c[n+](C)c(F)c1[N+](=O)[O-],C=CN1[C]N(C)C(F)=C1[N+](=O)[O-]
APYNILDSYLSWRO-UHFFFAOYSA-N,Me,Propargyl,OMe,CN,C#CCn1c[n+](C)c(C#N)c1OC,C#CCN1[C]N(C)C(C#N)=C1OC
AQCZATXNDXXBAS-UHFFFAOYSA-N,tBu,Ethynyl,H,CF3,C#Cn1cc(C(F)(F)F)[n+](C(C)(C)C)c1,C#CN1[C]N(C(C)(C)C)C(C(F)(F)F)=C1
AQMWECWXMYMBEA-UHFFFAOYSA-N,Me,Allyl,NO2,CF3,C=CCn1c[n+](C)c(C(F)(F)F)c1[N+](=O)[O-],C=CCN1[C]N(C)C(C(F)(F)F)=C1[N+](=O)[O-]
ARCOPRKIERHYIJ-UHFFFAOYSA-N,Et,Propargyl,CF3,NO2,C#CCn1c[n+](CC)c([N+](=O)[O-])c1C(F)(F)F,C#CCN1[C]N(CC)C([N+](=O)[O-])=C1C(F)(F)F
ASGGKEMNSRKJQJ-UHFFFAOYSA-N,nBu,tBu,NH2,CF3,CCCC[n+]1cn(C(C)(C)C)c(N)c1C(F)(F)F,CCCCN1[C]N(C(C)(C)C)C(N)=C1C(F)(F)F
ASSZZEUGHFDGDP-UHFFFAOYSA-N,nBu,Ethynyl,F,OMe,C#Cn1c[n+](CCCC)c(OC)c1F,C#CN1[C]N(CCCC)C(OC)=C1F
ASZXQANQIIGSCD-UHFFFAOYSA-N,nBu,Allyl,NO2,H,C=CCn1c[n+](CCCC)cc1[N+](=O)[O-],C=CCN1[C]N(CCCC)C=C1[N+](=O)[O-]
ATMLCIQKBSCYBB-UHFFFAOYSA-N,Me,Et,OMe,OMe,CCn1c[n+](C)c(OC)c1OC,CCN1[C]N(C)C(OC)=C1OC
ATMTTZQTXKQKNJ-UHFFFAOYSA-N,tBu,Allyl,CN,CN,C=CCn1c[n+](C(C)(C)C)c(C#N)c1C#N,C=CCN1[C]N(C(C)(C)C)C(C#N)=C1C#N
ATUCKSAYOACHFP-UHFFFAOYSA-N,Me,Ethynyl,F,Me,C#Cn1c[n+](C)c(C)c1F,C#CN1[C]N(C)C(C)=C1F
AUDHMQHWJNESLG-UHFFFAOYSA-N,Et,Propargyl,CN,OMe,C#CCn1c[n+](CC)c(OC)c1C#N,C#CCN1[C]N(CC)C(OC)=C1C#N
AUJVTZUXRRWNHZ-UHFFFAOYSA-N,nBu,Ethynyl,CF3,H,C#Cn1c[n+](CCCC)cc1C(F)(F)F,C#CN1[C]N(CCCC)C=C1C(F)(F)F
AUMWVAKCDMXMEN-UHFFFAOYSA-N,Me,Allyl,OMe,F,C=CCn1c[n+](C)c(F)c1OC,C=CCN1[C]N(C)C(F)=C1OC
AUOVXFGSOVIUGZ-UHFFFAOYSA-N,Et,Ethynyl,NO2,NO2,C#Cn1c[n+](CC)c([N+](=O)[O-])c1[N+](=O)[O-],C#CN1[C]N(CC)C([N+](=O)[O-])=C1[N+](=O)[O-]
AVNSUNPZMVGIPD-UHFFFAOYSA-N,nBu,iPr,CN,H,CCCC[n+]1cc(C#N)n(C(C)C)c1,CCCCN1[C]N(C(C)C)C(C#N)=C1
AVSDTGJYJQLYTJ-UHFFFAOYSA-N,Vinyl,Ph,H,CN,C=C[n+]1cn(-c2ccccc2)cc1C#N,C=CN1[C]N(c2ccccc2)C=C1C#N
AWZIZNSDJXODFG-UHFFFAOYSA-N,Ethynyl,Propargyl,H,CF3,C#CCn1cc(C(F)(F)F)[n+](C#C)c1,C#CCN1[C]N(C#C)C(C(F)(F)F)=C1
AWZKYWFXSQRLJA-UHFFFAOYSA-N,Et,Vinyl,F,H,C=Cn1c[n+](CC)cc1F,C=CN1[C]N(CC)C=C1F
AXJVEXSSBJLKCJ-UHFFFAOYSA-N,nBu,tBu,OMe,Me,CCCC[n+]1cn(C(C)(C)C)c(OC)c1C,CCCCN1[C]N(C(C)(C)C)C(OC)=C1C
AXKZZCZXSMIERF-UHFFFAOYSA-N,nBu,Ethynyl,CF3,NH2,C#Cn1c[n+](CCCC)c(N)c1C(F)(F)F,C#CN1[C]N(CCCC)C(N)=C1C(F)(F)F
AXQQGZIULUPHDP-UHFFFAOYSA-N,Ethynyl,Propargyl,NO2,NO2,C#CCn1c[n+](C#C)c([N+](=O)[O-])c1[N+](=O)[O-],C#CCN1[C]N(C#C)C([N+](=O)[O-])=C1[N+](=O)[O-]
AXQWBKLQARESDS-UHFFFAOYSA-N,Vinyl,Allyl,CF3,CF3,C=CCn1c[n+](C=C)c(C(F)(F)F)c1C(F)(F)F,C=CCN1[C]N(C=C)C(C(F)(F)F)=C1C(F)(F)F
AXSCHPHIGVUNEX-UHFFFAOYSA-N,Et,iPr,F,Me,CC[n+]1cn(C(C)C)c(F)c1C,CCN1[C]N(C(C)C)C(F)=C1C
AYIOMLJSQZNTTE-UHFFFAOYSA-N,tBu,Ethynyl,OMe,Me,C#Cn1c[n+](C(C)(C)C)c(C)c1OC,C#CN1[C]N(C(C)(C)C)C(C)=C1OC
AYSBCAZSVLTSMI-UHFFFAOYSA-N,tBu,Ethynyl,NO2,CN,C#Cn1c[n+](C(C)(C)C)c(C#N)c1[N+](=O)[O-],C#CN1[C]N(C(C)(C)C)C(C#N)=C1[N+](=O)[O-]
AYTKLJYLOZVKQJ-UHFFFAOYSA-N,Me,Propargyl,F,CF3,C#CCn1c[n+](C)c(C(F)(F)F)c1F,C#CCN1[C]N(C)C(C(F)(F)F)=C1F
AYUYVUNOPXJWFX-UHFFFAOYSA-N,Vinyl,Propargyl,NH2,NO2,C#CCn1c[n+](C=C)c([N+](=O)[O-])c1N,C#CCN1[C]N(C=C)C([N+](=O)[O-])=C1N
AZUZVAYUPLWRNC-UHFFFAOYSA-N,Et,Ethynyl,NO2,Me,C#Cn1c[n+](CC)c(C)c1[N+](=O)[O-],C#CN1[C]N(CC)C(C)=C1[N+](=O)[O-]
AZWRQZHOCVNLMN-UHFFFAOYSA-N,tBu,Vinyl,NH2,NO2,C=Cn1c[n+](C(C)(C)C)c([N+](=O)[O-])c1N,C=CN1[C]N(C(C)(C)C)C([N+](=O)[O-])=C1N
BACWFMSVLJELPB-UHFFFAOYSA-N,Et,Allyl,CF3,CN,C=CCn1c[n+](CC)c(C#N)c1C(F)(F)F,C=CCN1[C]N(CC)C(C#N)=C1C(F)(F)F
BAOCFJNTLSEBPJ-UHFFFAOYSA-N,nBu,iPr,NO2,CN,CCCC[n+]1cn(C(C)C)c([N+](=O)[O-])c1C#N,CCCCN1[C]N(C(C)C)C([N+](=O)[O-])=C1C#N
BAXXLAVVIKBSMV-UHFFFAOYSA-N,Ethynyl,Ethynyl,CN,CF3,C#Cn1c[n+](C#C)c(C(F)(F)F)c1C#N,C#CN1[C]N(C#C)C(C(F)(F)F)=C1C#N
BBDKKKYQHWBLKP-UHFFFAOYSA-N,Me,Ph,CN,Me,Cc1c(C#N)n(-c2ccccc2)c[n+]1C,CC1=C(C#N)N(c2ccccc2)[C]N1C
BBKFOVMUQWMIKF-UHFFFAOYSA-N,tBu,Ethynyl,OMe,NO2,C#Cn1c[n+](C(C)(C)C)c([N+](=O)[O-])c1OC,C#CN1[C]N(C(C)(C)C)C([N+](=O)[O-])=C1OC
BBPBHNOUNBEEFE-UHFFFAOYSA-N,tBu,Ph,CN,F,CC(C)(C)[n+]1cn(-c2ccccc2)c(C#N)c1F,CC(C)(C)N1[C]N(c2ccccc2)C(C#N)=C1F
BBPDIKIJMCEJFM-UHFFFAOYSA-N,Et,Propargyl,H,OMe,C#CCn1cc(OC)[n+](CC)c1,C#CCN1[C]N(CC)C(OC)=C1
BCDLHCJVDWKYFZ-UHFFFAOYSA-N,Vinyl,Propargyl,CN,NH2,C#CCn1c[n+](C=C)c(N)c1C#N,C#CCN1[C]N(C=C)C(N)=C1C#N
BCWQMKXELMIHGI-UHFFFAOYSA-N,Et,Ph,CF3,CF3,CC[n+]1cn(-c2ccccc2)c(C(F)(F)F)c1C(F)(F)F,CCN1[C]N(c2ccccc2)C(C(F)(F)F)=C1C(F)(F)F
BCWQOPJQRINUFZ-UHFFFAOYSA-N,Et,tBu,CF3,H,CC[n+]1cc(C(F)(F)F)n(C(C)(C)C)c1,CCN1[C]N(C(C)(C)C)C(C(F)(F)F)=C1
BCZGBQVWVHXPKH-UHFFFAOYSA-N,Et,iPr,NH2,CF3,CC[n+]1cn(C(C)C)c(N)c1C(F)(F)F,CCN1[C]N(C(C)C)C(N)=C1C(F)(F)F
BDOBXXCJZJMEGP-UHFFFAOYSA-N,Vinyl,Propargyl,CF3,OMe,C#CCn1c[n+](C=C)c(OC)c1C(F)(F)F,C#CCN1[C]N(C=C)C(OC)=C1C(F)(F)F
BDPQRPBJDAJJQW-UHFFFAOYSA-N,Vinyl,Propargyl,NH2,CN,C#CCn1c[n+](C=C)c(C#N)c1N,C#CCN1[C]N(C=C)C(C#N)=C1N
BDSFAUGBONMXFI-UHFFFAOYSA-N,Me,tBu,CN,OMe,COc1c(C#N)n(C(C)(C)C)c[n+]1C,COC1=C(C#N)N(C(C)(C)C)[C]N1C
BDWZJDCZCYAPRE-UHFFFAOYSA-N,Ethynyl,Propargyl,NH2,H,C#CCn1c[n+](C#C)cc1N,C#CCN1[C]N(C#C)C=C1N
BEGQTQKPRLWXHI-UHFFFAOYSA-N,nBu,Ph,H,NH2,CCCC[n+]1cn(-c2ccccc2)cc1N,CCCCN1[C]N(c2ccccc2)C=C1N
BFCHAVKBUOGJJY-UHFFFAOYSA-N,Me,Et,CF3,H,CCn1c[n+](C)cc1C(F)(F)F,CCN1[C]N(C)C=C1C(F)(F)F
BFDVOXVBVOATTB-UHFFFAOYSA-N,tBu,Ethynyl,CF3,CF3,C#Cn1c[n+](C(C)(C)C)c(C(F)(F)F)c1C(F)(F)F,C#CN1[C]N(C(C)(C)C)C(C(F)(F)F)=C1C(F)(F)F
BFMPBDRLSOUCGL-UHFFFAOYSA-N,Et,Ph,F,Me,CC[n+]1cn(-c2ccccc2)c(F)c1C,CCN1[C]N(c2ccccc2)C(F)=C1C
BGBDOZGTCKMBAB-UHFFFAOYSA-N,nBu,Vinyl,F,CN,C=Cn1c[n+](CCCC)c(C#N)c1F,C=CN1[C]N(CCCC)C(C#N)=C1F
BHDLRSSCZDDIOM-UHFFFAOYSA-N,Vinyl,Ph,NH2,F,C=C[n+]1cn(-c2ccccc2)c(N)c1F,C=CN1[C]N(c2ccccc2)C(N)=C1F
BHKJJUGZCADDLW-UHFFFAOYSA-N,nBu,Allyl,F,NO2,C=CCn1c[n+](CCCC)c([N+](=O)[O-])c1F,C=CCN1[C]N(CCCC)C([N+](=O)[O-])=C1F
BHTAKIGRHBLHMV-UHFFFAOYSA-N,nBu,Ph,CN,CN,CCCC[n+]1cn(-c2ccccc2)c(C#N)c1C#N,CCCCN1[C]N(c2ccccc2)C(C#N)=C1C#N
BHWNOLKYXPQUAZ-UHFFFAOYSA-N,Vinyl,Ethynyl,OMe,CN,C#Cn1c[n+](C=C)c(C#N)c1OC,C#CN1[C]N(C=C)C(C#N)=C1OC
BIHGLCPBLZIJOM-UHFFFAOYSA-N,nBu,tBu,H,OMe,CCCC[n+]1cn(C(C)(C)C)cc1OC,CCCCN1[C]N(C(C)(C)C)C=C1OC
BIOORCLUQUOYPY-UHFFFAOYSA-N,tBu,Allyl,NH2,NH2,C=CCn1c[n+](C(C)(C)C)c(N)c1N,C=CCN1[C]N(C(C)(C)C)C(N)=C1N
BIVNWMJCVOEYNO-UHFFFAOYSA-N,Me,Et,F,CN,CCn1c[n+](C)c(C#N)c1F,CCN1[C]N(C)C(C#N)=C1F
BIVWGXQLEMOLRU-UHFFFAOYSA-N,tBu,Allyl,NO2,H,C=CCn1c[n+](C(C)(C)C)cc1[N+](=O)[O-],C=CCN1[C]N(C(C)(C)C)C=C1[N+](=O)[O-]
BJFNYUHEBKFWEF-UHFFFAOYSA-N,nBu,Ph,NO2,CN,CCCC[n+]1cn(-c2ccccc2)c([N+](=O)[O-])c1C#N,CCCCN1[C]N(c2ccccc2)C([N+](=O)[O-])=C1C#N
BJFWWZZLMZALLK-UHFFFAOYSA-N,tBu,Ethynyl,CF3,OMe,C#Cn1c[n+](C(C)(C)C)c(OC)c1C(F)(F)F,C#CN1[C]N(C(C)(C)C)C(OC)=C1C(F)(F)F
BJSKARQXJDRRKE-UHFFFAOYSA-N,Et,Ph,CN,NO2,CC[n+]1cn(-c2ccccc2)c(C#N)c1[N+](=O)[O-],CCN1[C]N(c2ccccc2)C(C#N)=C1[N+](=O)[O-]
BKRJDZZYKKTHME-UHFFFAOYSA-N,nBu,Ph,NH2,F,CCCC[n+]1cn(-c2ccccc2)c(N)c1F,CCCCN1[C]N(c2ccccc2)C(N)=C1F
BKWGFIQARKGJIK-UHFFFAOYSA-N,tBu,Ph,CF3,CF3,CC(C)(C)[n+]1cn(-c2ccccc2)c(C(F)(F)F)c1C(F)(F)F,CC(C)(C)N1[C]N(c2ccccc2)C(C(F)(F)F)=C1C(F)(F)F
BKYHZQZVLCWXOR-UHFFFAOYSA-N,Et,Ethynyl,F,H,C#Cn1c[n+](CC)cc1F,C#CN1[C]N(CC)C=C1F
BLEOPPKORBWQIC-UHFFFAOYSA-N,nBu,iPr,H,NH2,CCCC[n+]1cn(C(C)C)cc1N,CCCCN1[C]N(C(C)C)C=C1N
BLJAHAXPICEHEP-UHFFFAOYSA-N,tBu,tBu,CN,NO2,CC(C)(C)n1c[n+](C(C)(C)C)c([N+](=O)[O-])c1C#N,CC(C)(C)N1[C]N(C(C)(C)C)C([N+](=O)[O-])=C1C#N
BLLPWCSCFVILNA-UHFFFAOYSA-N,nBu,Allyl,CF3,F,C=CCn1c[n+](CCCC)c(F)c1C(F)(F)F,C=CCN1[C]N(CCCC)C(F)=C1C(F)(F)F
BMFLHLZKOOMDQY-UHFFFAOYSA-N,Et,Vinyl,NH2,H,C=Cn1c[n+](CC)cc1N,C=CN1[C]N(CC)C=C1N
BMFOQOPPHCZPPB-UHFFFAOYSA-N,Me,Allyl,CN,H,C=CCn1c[n+](C)cc1C#N,C=CCN1[C]N(C)C=C1C#N
BMNXHHHGBHRNLK-UHFFFAOYSA-N,Me,Ph,F,Me,Cc1c(F)n(-c2ccccc2)c[n+]1C,CC1=C(F)N(c2ccccc2)[C]N1C
BMVIOCTVVNBABX-UHFFFAOYSA-N,Ethynyl,Ph,NH2,CN,C#C[n+]1cn(-c2ccccc2)c(N)c1C#N,C#CN1[C]N(c2ccccc2)C(N)=C1C#N
BNCVISBRZZLGMV-UHFFFAOYSA-N,Vinyl,Vinyl,F,OMe,C=Cn1c[n+](C=C)c(OC)c1F,C=CN1[C]N(C=C)C(OC)=C1F
BNGIZIFYVNSBBQ-UHFFFAOYSA-N,nBu,Ph,F,NO2,CCCC[n+]1cn(-c2ccccc2)c(F)c1[N+](=O)[O-],CCCCN1[C]N(c2ccccc2)C(F)=C1[N+](=O)[O-]
BNKSALJKYQHPNW-UHFFFAOYSA-N,Me,Allyl,F,F,C=CCn1c[n+](C)c(F)c1F,C=CCN1[C]N(C)C(F)=C1F
BOBGEVPKFMSVTB-UHFFFAOYSA-N,nBu,Ethynyl,NO2,H,C#Cn1c[n+](CCCC)cc1[N+](=O)[O-],C#CN1[C]N(CCCC)C=C1[N+](=O)[O-]
BOFVDCDOCKQENM-UHFFFAOYSA-N,Et,tBu,OMe,CF3,CC[n+]1cn(C(C)(C)C)c(OC)c1C(F)(F)F,CCN1[C]N(C(C)(C)C)C(OC)=C1C(F)(F)F
BOKVXCVRVHCCRD-UHFFFAOYSA-N,Vinyl,Vinyl,H,NH2,C=Cn1cc(N)[n+](C=C)c1,C=CN1[C]N(C=C)C(N)=C1
BOMOLFBFHPIUMJ-UHFFFAOYSA-N,nBu,iPr,CN,NO2,CCCC[n+]1cn(C(C)C)c(C#N)c1[N+](=O)[O-],CCCCN1[C]N(C(C)C)C(C#N)=C1[N+](=O)[O-]
BOVDHCVSTVUXSI-UHFFFAOYSA-N,tBu,Vinyl,NH2,NH2,C=Cn1c[n+](C(C)(C)C)c(N)c1N,C=CN1[C]N(C(C)(C)C)C(N)=C1N
BOVJDNLQAGJWHZ-UHFFFAOYSA-N,Me,Ph,NO2,CF3,C[n+]1cn(-c2ccccc2)c([N+](=O)[O-])c1C(F)(F)F,CN1[C]N(c2ccccc2)C([N+](=O)[O-])=C1C(F)(F)F
BPQOVTMNPWOUSI-UHFFFAOYSA-N,Et,Ph,NO2,CN,CC[n+]1cn(-c2ccccc2)c([N+](=O)[O-])c1C#N,CCN1[C]N(c2ccccc2)C([N+](=O)[O-])=C1C#N
BPZJFFUCMCIKJJ-UHFFFAOYSA-N,Et,Propargyl,F,CN,C#CCn1c[n+](CC)c(C#N)c1F,C#CCN1[C]N(CC)C(C#N)=C1F
BQLQUKXVHXMTNO-UHFFFAOYSA-N,nBu,Ph,H,OMe,CCCC[n+]1cn(-c2ccccc2)cc1OC,CCCCN1[C]N(c2ccccc2)C=C1OC
BQQXUEKGTAEEKA-UHFFFAOYSA-N,nBu,Ph,NO2,NH2,CCCC[n+]1cn(-c2ccccc2)c([N+](=O)[O-])c1N,CCCCN1[C]N(c2ccccc2)C([N+](=O)[O-])=C1N
BQSUAFSUPCNTBF-UHFFFAOYSA-N,Et,Allyl,H,H,C=CCn1cc[n+](CC)c1,C=CCN1[C]N(CC)C=C1
BQVLLSIJKNXUAL-UHFFFAOYSA-N,nBu,Ph,OMe,OMe,CCCC[n+]1cn(-c2ccccc2)c(OC)c1OC,CCCCN1[C]N(c2ccccc2)C(OC)=C1OC
BQXYZOCLKFSCHE-UHFFFAOYSA-N,Me,Me,CN,NO2,Cn1c[n+](C)c([N+](=O)[O-])c1C#N,CN1[C]N(C)C([N+](=O)[O-])=C1C#N
BRINGEWXYZEQLQ-UHFFFAOYSA-N,Me,Propargyl,NH2,CF3,C#CCn1c[n+](C)c(C(F)(F)F)c1N,C#CCN1[C]N(C)C(C(F)(F)F)=C1N
